,name_lens,lens_link,number_of_works,collaboration_ratio,lens_h_index,scholar_article_cites,patent_cites,associated_fields,current_place_of_work
598,Wang jin,https://www.lens.org/lens/orcid/0000-0002-5778-5887/scholar,0,-,-,0,0,[''],no current information
599,Leo Sporn,https://www.lens.org/lens/orcid/0000-0001-7594-053X/scholar,1,100%,1,8,0,"['Choline , Context (language use) , Endocrinology , Glutamate receptor , Glutamine , Hippocampal formation , Hippocampus (mythology) , Internal medicine , Medicine , Metabolite']",no current information
600,Karen Liby,https://www.lens.org/lens/orcid/0000-0003-3317-3437/scholar,118,68%,45,"8,580",892,"['Biology , Cancer research , Chemistry , Medicine , Biochemistry , Cancer , Carcinogenesis , Immunology , In vivo , Internal medicine']",Michigan State University
601,Gordon Gribble,https://www.lens.org/lens/orcid/0000-0002-7573-0927/scholar,83,25%,9,285,4,"['Chemistry , Organic chemistry , Stereochemistry , Catalysis , Medicinal chemistry , Combinatorial chemistry , Computer science , Environmental chemistry , Indole test , Ring (chemistry)']",Dartmouth College
602,Tadashi Honda,https://www.lens.org/lens/orcid/0000-0003-0746-9453/scholar,12,89%,5,88,4,"['Biology , Transcription factor , Cancer research , Chemistry , KEAP1 , Biochemistry , Cell biology , Gene , Cancer , Colorectal cancer']",Stony Brook University
603,Robert Král,https://www.lens.org/lens/orcid/0000-0002-4519-6030/scholar,35,89%,10,257,1,"['Materials science , Analytical chemistry , Luminescence , Scintillation , Scintillator , Crystallography , Doping , Chemistry , Crystal growth , Photoluminescence']",FZU – Institute of Physics of the Czech Academy of Sciences
604,Colin Meyer-Macaulay,https://www.lens.org/lens/orcid/0000-0001-5326-098X/scholar,1,100%,1,3,0,"['Ambivalence , Burnout , Content analysis , Context (language use) , Coping (psychology) , Medicine , Nursing , Qualitative research , Quality of life (healthcare) , Social media']",no current information
605,Zhao hui,https://www.lens.org/lens/orcid/0000-0003-0054-3286/scholar,1,100%,-,0,0,"['CALPHAD , Diagram , Isothermal process , Materials science , Mathematics , Phase (matter) , Phase diagram , Physics , Quantum mechanics , Statistics']",no current information
606,Yao-Li Chuang,https://www.lens.org/lens/orcid/0000-0003-4392-5823/scholar,38,85%,20,"3,549",5,"['Physics , Alpha Magnetic Spectrometer , Biology , Mathematics , Astrophysics , Cancer , Cancer research , Computer science , Cosmic ray , Drug delivery']",California State University Northridge
607,chen dongliang,https://www.lens.org/lens/orcid/0000-0001-5738-0946/scholar,1,100%,-,0,0,"[""Area under the curve , Case-control study , Contracture , Dupuytren's contracture , Fibrinogen , Gastroenterology , Internal medicine , Logistic regression , Medicine , Odds ratio""]",no current information
608,Yanhui Yang,https://www.lens.org/lens/orcid/0000-0001-9679-3508/scholar,2,100%,2,27,0,"['Chemical bond , Chemical physics , Materials science , Molecular dynamics , Bond length , Bond strength , Bond-dissociation energy , Coal , Dissociation (chemistry) , Macromolecule']",Henan University of Urban Construction
609,Dashuai Yang,https://www.lens.org/lens/orcid/0000-0001-9663-5059/scholar,2,100%,2,213,0,"['Electrochemistry , Ammonia , Applied potential , Aqueous solution , Catalysis , Chemical engineering , Chemistry , Current density , Density functional theory , Desorption']",Dongfang Electric Corporation (China)
610,Jiayi Chen,https://www.lens.org/lens/orcid/0000-0002-0722-8150/scholar,2,100%,2,45,0,"['Computer science , Charging station , Computer security , Convex optimization , Data sharing , Heuristics , Inference attack , Information privacy , Information sensitivity , Login']","Computer Science, PhD"
611,Mengjie Wu,https://www.lens.org/lens/orcid/0000-0002-8806-6586/scholar,1,100%,1,15,0,"['Climatology , Empirical orthogonal functions , Environmental science , Evapotranspiration , Index (economics) , Mainland China , Precipitation , Trend analysis']",no current information
612,Xi Tan,https://www.lens.org/lens/orcid/0000-0002-2665-9634/scholar,2,100%,1,83,0,"['Coronavirus disease 2019 (COVID-19) , Disease , Medical emergency , Medicine , Retrospective cohort study , Telemedicine , Workforce , Disease progression , Economic growth , Economic shortage']","Department of Anesthesiology,"
613,Wang Chi,https://www.lens.org/lens/orcid/0000-0001-5104-3391/scholar,2,100%,1,26,0,"['Biology , Cognition , Entorhinal cortex , Neuroscience , Synaptic plasticity , Dentate gyrus , Effects of sleep deprivation on cognitive performance , Excitatory postsynaptic potential , Hippocampal formation , Hippocampus']",no current information
614,Li Ruifang,https://www.lens.org/lens/orcid/0000-0003-3152-1207/scholar,1,100%,1,2,0,"['Chemistry , Computational biology , Gene , Linear correlation , Messenger RNA , Palindrome , Peptide sequence , Protein folding , Protein structure']",Inner Mongolia Normal University
615,Yanjie,https://www.lens.org/lens/orcid/0000-0002-5188-0576/scholar,7,80%,3,26,0,"['Materials science , Divertor , Plasma , Impurity , Tokamak , Nuclear engineering , Nuclear physics , Physics , Seeding , Tungsten']",no current information
616,Kern,https://www.lens.org/lens/orcid/0000-0002-4624-4452/scholar,5,100%,2,4,0,"['Snow , Atmospheric sciences , Cryosphere , Elevation , Environmental science , Geography , Geology , Humanities , Path (graph theory) , Physical geography']",no current information
617,Dr Medzid Muhasilovic Dipl.-Ing.,https://www.lens.org/lens/orcid/0000-0001-5958-5953/scholar,0,-,-,0,0,[''],Free University of Bozen-Bolzano
618,Katja Schmölz,https://www.lens.org/lens/orcid/0000-0002-0214-8485/scholar,2,100%,1,1,0,"['Assisted colonization , Biology , Climate change , Ecology , Endangered species , Invertebrate , Pseudemydura umbrina , Swamp , Turtle (robot) , Wetland']",no current information
619,Jianping Wen,https://www.lens.org/lens/orcid/0000-0002-2577-0090/scholar,3,67%,2,10,0,"['Artificial intelligence , Computer science , Control engineering , Magnet , Mathematics , Physics , Thermodynamics , Adaptability , Agronomy , Artificial neural network']",no current information
620,CHEN Hong,https://www.lens.org/lens/orcid/0000-0003-0107-6149/scholar,0,-,-,0,0,[''],Hong Kong Polytechnic University
621,Liu Jiao,https://www.lens.org/lens/orcid/0000-0002-4807-6771/scholar,10,100%,8,322,1,"['Materials science , Photochemistry , Dye-sensitized solar cell , Energy conversion efficiency , Excited state , Nanotechnology , Anatase , Benzoic acid , Chemistry , Conjugated system']",no current information
622,Shibin,https://www.lens.org/lens/orcid/0000-0002-7415-0699/scholar,2,-,2,14,0,"['Activator (genetics) , Apoptosis , Cancer research , Cell , Chemistry , Chinese traditional medicine , Complete response , Dermatology , Human skin , MMP1']",no current information
623,Yaoguang Wang,https://www.lens.org/lens/orcid/0000-0002-9574-7136/scholar,0,-,-,0,0,[''],no current information
624,Letian Chen,https://www.lens.org/lens/orcid/0000-0001-6413-636X/scholar,58,66%,27,"5,143",63,"['Biology , Genetics , Gene , Cell biology , Oryza sativa , Sterility , Biochemistry , Computational biology , Mutant , Allele']",South China Agricultural University
625,Zhao Zhe,https://www.lens.org/lens/orcid/0000-0002-6952-3489/scholar,2,50%,1,11,0,"['Amoxicillin , Esomeprazole , Gastroenterology , Helicobacter pylori , Intention-to-treat analysis , Internal medicine , Medicine , Adverse effect , Antibiotics , Biology']",no current information
626,xianrong xie,https://www.lens.org/lens/orcid/0000-0002-1438-7766/scholar,9,89%,3,58,0,"['Biology , Gene , Genetics , Computational biology , CRISPR , Computer science , Genome editing , Programming language , Botany , Cas9']",no current information
627,Weizhi Liu,https://www.lens.org/lens/orcid/0000-0002-2927-8773/scholar,1,-,1,12,0,"['Dropout (neural networks) , Internal medicine , Meta-analysis , Prolonged exposure , Psychological treatment , Psychology , Ptsd treatment , Sample size determination , Traumatic stress , Treatment effect']",no current information
628,Qinlong Zhu,https://www.lens.org/lens/orcid/0000-0001-7622-6450/scholar,22,68%,10,325,2,"['Biology , Gene , Computational biology , CRISPR , Genetics , Genome editing , Cas9 , Genome , Computer science , Transgene']",South China Agricultural University
629,Jiantao,https://www.lens.org/lens/orcid/0000-0002-3314-5383/scholar,2,100%,2,6,0,"['Catalysis , Chemistry , Combinatorial chemistry , Aryl , Four component , Metal free , One-pot synthesis , Terminal (electronics) , Thiadiazoles , Yield (chemistry)']",no current information
630,Yuquan Xu,https://www.lens.org/lens/orcid/0000-0001-6595-2000/scholar,1,-,1,8,0,"['Artificial intelligence , Computer vision , Depth map , Image restoration , Invariant (mathematics) , Iterative method , Kernel (image processing) , Latent image , Mathematics , Minification']",no current information
631,Miaomiao Yin,https://www.lens.org/lens/orcid/0000-0002-8194-8121/scholar,1,100%,-,0,0,"['Biology , Business , Computer science , Computer security , Ecology , Economics , Enforcement , Environmental law , Law , Law and economics']",no current information
632,Man Lai Cheung,https://www.lens.org/lens/orcid/0000-0003-0320-1134/scholar,25,100%,15,605,0,"['Psychology , Business , Advertising , Social media , Marketing , Computer science , Social psychology , Structural equation modeling , Brand engagement , Tourism']",no current information
633,Weibin Wang,https://www.lens.org/lens/orcid/0000-0002-8160-6025/scholar,3,33%,1,2,0,"['Biology , Botany , Inflorescence , Setaria viridis , Ambrosia artemisiifolia , Artemisia annua , Asteraceae , Biochemistry , Bract , Calyx']",no current information
634,Zeng Hui-hui,https://www.lens.org/lens/orcid/0000-0002-7945-6988/scholar,13,50%,9,348,0,"['Chemistry , Fluorescence , Nanoparticle , Nuclear chemistry , Photochemistry , Ion , Luminescence , Alkaline phosphatase , Analytical chemistry , Detection limit']",Pingxiang University
635,Jiong Hong,https://www.lens.org/lens/orcid/0000-0002-4592-7083/scholar,43,56%,23,"1,660",208,"['Biochemistry , Chemistry , Kluyveromyces marxianus , Biology , Yeast , Fermentation , Xylose , Gene , Hydrolysis , Cellulose']",University of Science and Technology of China
636,Zhang-Biao Yang,https://www.lens.org/lens/orcid/0000-0003-4142-4451/scholar,10,90%,6,122,0,"['Materials science , Optoelectronics , Computer science , Dispersion (optics) , Plasmon , Surface plasmon polariton , Telecommunications , Antenna (radio) , Bandwidth (signal processing) , Bit (key)']",no current information
637,Shuobo Shi,https://www.lens.org/lens/orcid/0000-0002-0261-3105/scholar,55,77%,19,"1,559",54,"['Biology , Biochemistry , Metabolic engineering , Chemistry , Computational biology , Saccharomyces cerevisiae , Yeast , Gene , Biotechnology , Enzyme']",Beijing University of Chemical Technology
638,Meng-Jie Chang,https://www.lens.org/lens/orcid/0000-0003-1377-3240/scholar,22,32%,9,411,2,"['Materials science , Nanotechnology , Chemical engineering , Electrospinning , Composite material , Catalysis , Fabrication , Nanofiber , Optoelectronics , Photocatalysis']",Xi'an University of Science and Technology
639,Nguyen Duong,https://www.lens.org/lens/orcid/0000-0002-5289-4785/scholar,10,67%,3,17,0,"['Aerodynamics , Biplane , Mechanics , Aerospace engineering , Airfoil , Engineering , Materials science , Physics , Computer science , Geology']",no current information
640,Hector Martinez,https://www.lens.org/lens/orcid/0000-0002-9694-7535/scholar,4,75%,3,66,0,"['Physics , Particle physics , Quantum chromodynamics , Coupling , Discontinuity (linguistics) , Function (mathematics) , Mathematical physics , Padé approximant , Quantum field theory , Quantum mechanics']",no current information
641,Birgitta Gatenholm,https://www.lens.org/lens/orcid/0000-0002-7204-9343/scholar,3,67%,2,14,0,"['Medicine , Cartilage , Osteoarthritis , Subchondral bone , Anatomy , Disease progression , Femur condyle , Inflammation , Joint pain , Letter to the editor']",no current information
642,Sofie De Maeseneire,https://www.lens.org/lens/orcid/0000-0002-5314-1697/scholar,10,33%,7,109,5,"['Yeast , Biology , Chemistry , Computational biology , Biochemistry , Gene cluster , Saccharomyces cerevisiae , Sophorolipid , Food science , Gene expression']",Ghent University
643,Elena Lolomadze,https://www.lens.org/lens/orcid/0000-0001-5611-7345/scholar,11,75%,3,76,0,"['Medicine , Biology , Cancer research , Torque teno virus , Circulating RNA , Viral load , Virology , Whole blood , Blood plasma , Circulating tumor cell']",Naucnyj centr akuserstva ginekologii i perinatologii imeni akademika V I Kulakova
644,Denis Rebrikov,https://www.lens.org/lens/orcid/0000-0002-1884-1807/scholar,79,70%,16,"1,204",84,"['Biology , Genetics , Gene , Computational biology , Medicine , Complementary DNA , DNA , Internal medicine , Computer science , Suppression subtractive hybridization']",Pirogov Russian National Research Medical University
645,Suxin Yang,https://www.lens.org/lens/orcid/0000-0001-8673-9428/scholar,29,83%,14,669,2,"['Biology , Mutant , Gene , Genetics , Arabidopsis , Cell biology , Botany , Gene expression , Arabidopsis thaliana , Gene mapping']","Northeast Institute of Geography and Agroecology, Chinese Academy of Sciences"
646,Yu Hui,https://www.lens.org/lens/orcid/0000-0002-8237-9573/scholar,1,100%,1,1,0,"['Laminectomy , Medicine , Pedicle screw fixation , Surgery , Upper cervical spinal cord']",no current information
647,Qiushi Wang,https://www.lens.org/lens/orcid/0000-0002-5555-7880/scholar,1,100%,1,2,0,"['Candidate gene , Coronary artery disease , Internal medicine , Logistic regression , Medicine , Oncology , Pathogenesis , Prospective cohort study , Real-time polymerase chain reaction , Receiver operating characteristic']",no current information
648,Haijun Tu,https://www.lens.org/lens/orcid/0000-0002-8960-856X/scholar,12,92%,5,60,0,"['Cell biology , Biology , Chemistry , Neuroscience , Biochemistry , Caenorhabditis elegans , Immune system , Innate immune system , Ischemia , GABAergic']",no current information
649,Gabriel Parks,https://www.lens.org/lens/orcid/0000-0002-1183-8082/scholar,1,-,1,4,0,"['Context (language use) , Deep Web , Epistemology , Hegemony , Identification (information) , Politics , Rhetorical question , Situated , Sociology']",Western Carolina University
650,Aundrea Westfall,https://www.lens.org/lens/orcid/0000-0003-4849-4831/scholar,4,100%,4,50,0,"['Biology , Evolutionary biology , ATPase , Cell biology , Cephalothorax , Contig , Evolutionary ecology , GC-content , Gene density , Gene expression']","Biology, Ph.D. Quantitative Biology (Genome Biology & Genetics)"
651,Zach,https://www.lens.org/lens/orcid/0000-0002-9425-6343/scholar,1,100%,1,8,0,"['Alpha-synuclein , Cell biology , Cellular model , Chemistry , Genetic screen , Genetically modified mouse , Neurotoxicity , Programmed cell death , Proteotoxicity , Yellow fluorescent protein']",no current information
652,Jedediah Alvey,https://www.lens.org/lens/orcid/0000-0002-4436-7192/scholar,3,33%,3,184,0,"['Aerogel , Albedo , Building insulation materials , Civil engineering , Climate change , Climatology , Composite material , Composite number , Electric power system , Energy (signal processing)']",US Army Corps of Engineers Construction Engineering Research Laboratory
653,Julianne Manchester,https://www.lens.org/lens/orcid/0000-0002-2336-3811/scholar,0,-,-,0,0,[''],no current information
654,Katherine Gora Combs,https://www.lens.org/lens/orcid/0000-0001-8409-5569/scholar,5,80%,2,6,0,"['Medicine , Psychology , Public health , Coronavirus disease 2019 (COVID-19) , Demography , Law , Mathematics , Nursing , Political science , Psychiatry']",no current information
655,Andrea Shellman,https://www.lens.org/lens/orcid/0000-0001-6966-8218/scholar,1,-,-,0,0,"['Ambulatory , Delayed diagnosis , Identification (information) , Medical emergency , Medical malpractice , Medicine , Patient safety , Patient satisfaction , Safety culture , Test (assessment)']",no current information
656,Kimball A. Milton,https://www.lens.org/lens/orcid/0000-0002-7148-0609/scholar,113,68%,31,"2,991",2,"['Physics , Casimir effect , Classical mechanics , Quantum mechanics , Quantum electrodynamics , Casimir pressure , Condensed matter physics , Vacuum energy , Mathematics , Materials science']",University of Oklahoma
657,Thomas Szyjka,https://www.lens.org/lens/orcid/0000-0003-3182-1605/scholar,8,100%,6,120,0,"['Materials science , Ferroelectricity , Optoelectronics , X-ray photoelectron spectroscopy , Chemical engineering , Chemistry , Electrode , Phase (matter) , Chemical physics , Dielectric']",no current information
658,Amie Frewen,https://www.lens.org/lens/orcid/0000-0003-2107-9128/scholar,1,100%,1,7,0,"['Burnout , Clinical psychology , Depression (differential diagnoses) , Moderation , Psychology , Self care , Self-compassion']",no current information
659,Karen Flashman,https://www.lens.org/lens/orcid/0000-0002-4829-9879/scholar,5,100%,2,33,0,"['Internal medicine , Medicine , Cancer , Colorectal cancer , Surgery , General surgery , Abdominal pain , Abdominal surgery , Anastomosis , Biology']",Portsmouth Hospitals NHS Trust
660,Karl Haushalter,https://www.lens.org/lens/orcid/0000-0001-7778-063X/scholar,1,100%,1,1,0,"['8-Oxoguanine , Biochemistry , Chemistry , Cytosine , DNA , DNA glycosylase , DNA repair , Guanine , Mutagenesis , Thermostability']",no current information
661,Anne Morgan,https://www.lens.org/lens/orcid/0000-0003-2468-493X/scholar,1,-,-,0,0,"['Apologetics , History , Irish , Religious studies']",A.T. Still University
662,Michael R Blaisse,https://www.lens.org/lens/orcid/0000-0002-2336-0223/scholar,4,50%,4,263,17,"['Biomedical engineering , Chemistry , Controlled release , Implant , Active site , Ascaris suum , Biochemistry , Biocompatible material , Biology , Bone Infection']",no current information
663,Prabha,https://www.lens.org/lens/orcid/0000-0003-1328-2281/scholar,0,-,-,0,0,[''],no current information
664,Brooke Rothschild-Mancinelli,https://www.lens.org/lens/orcid/0000-0003-0500-5903/scholar,3,67%,3,374,8,"['Biology , Blueprint , Cell growth , Coding region , Computational biology , Computer science , Coronavirus , Coronavirus disease 2019 (COVID-19) , DNA sequencing , Ecology']",no current information
665,Kim Kim,https://www.lens.org/lens/orcid/0000-0002-3077-2146/scholar,3,100%,1,11,0,"['Medicine , Type 2 diabetes , Clinical trial , Coaching , Depression (differential diagnoses) , Diabetes mellitus , Ethnic group , Gerontology , Glycemic , Incidence (epidemiology)']","Korean Resource Center, Inc."
666,Binglei Song,https://www.lens.org/lens/orcid/0000-0001-5855-5074/scholar,30,70%,12,427,8,"['Chemistry , Chemical engineering , Pulmonary surfactant , Organic chemistry , Molecule , Aqueous solution , Polymer chemistry , Engineering , Nanoparticle , Emulsion']",Jiangnan University
667,Liyan Shi,https://www.lens.org/lens/orcid/0009-0002-5373-9776/scholar,5,80%,3,40,0,"['Transforming growth factor , Cancer research , Cell biology , Chemistry , Fibrosis , Medicine , Angiogenesis , Biochemistry , Biology , Immunology']",Jilin University
668,Mingzhu Yang,https://www.lens.org/lens/orcid/0000-0002-4436-1428/scholar,1,100%,-,0,0,"['Cartography , Depth sounding , Geography , Geology , Geomorphology , Glacier , Oceanography , Paleontology , Physical geography , Remote sensing']",no current information
669,Su Wan Kim,https://www.lens.org/lens/orcid/0000-0002-6531-7266/scholar,9,33%,2,10,0,"['Medicine , Surgery , Anesthesia , Cardiothoracic surgery , Acute pericarditis , Adjuvant therapy , Amputation , Arteriovenous fistula , Autologous transplantation , Autotransplantation']","Thoracic and Cardiovascular Surgery, MD"
670,Zhou Xiao,https://www.lens.org/lens/orcid/0000-0001-7119-2984/scholar,1,100%,1,3,0,"['Design study , Environmental science , Hydrogen , Hydrogen concentration , Leakage (electronics) , Nuclear engineering , Nuclear power , Nuclear power plant , Response time , Water vapor']",no current information
671,Duo Liu,https://www.lens.org/lens/orcid/0000-0003-0106-0649/scholar,1,100%,1,5,0,"['Business , China , Economic geography , Economies of agglomeration , Manufacturing sector']","School of Economics, Ph.D"
672,Wang Guokun,https://www.lens.org/lens/orcid/0000-0002-6151-3980/scholar,18,67%,13,457,18,"['Biochemistry , Chemistry , Saccharomyces cerevisiae , Yeast , Biology , Metabolic engineering , Fermentation , Metabolism , Yarrowia , Enzyme']",Tianjin Institute of Industrial Biotechnology Chinese Academy of Sciences
673,Yuan Ye,https://www.lens.org/lens/orcid/0000-0001-9209-6916/scholar,1,-,1,11,0,"['Applied mathematics , Artificial neural network , Differential inequalities , Exponential dichotomy , Exponential function , Fixed-point theorem , Linear differential equation , Mathematics , Quaternion , Synchronization (computer science)']",no current information
674,Yangyong Wang,https://www.lens.org/lens/orcid/0000-0002-7281-1908/scholar,18,22%,15,"1,915",33,"['Materials science , Polyaniline , Conductive polymer , Nanofiber , Chemical engineering , Polyaniline nanofibers , Polymerization , Composite material , Aniline , Polymer chemistry']",no current information
675,yan yan,https://www.lens.org/lens/orcid/0000-0002-3797-834X/scholar,4,100%,3,108,0,"['Landslide , Computer science , Geology , Hilbert–Huang transform , Seismology , Short-time Fourier transform , Warning system , Artificial neural network , Constant false alarm rate , Discrete element method']",no current information
676,Han Lin,https://www.lens.org/lens/orcid/0000-0002-8569-7972/scholar,8,75%,7,225,3,"['Biology , Cell biology , DNA damage , DNA repair , Pharmacology , Chemistry , DNA repair protein XRCC4 , G2-M DNA damage checkpoint , Homology directed repair , Ischemia']",University of Texas at Austin
677,Yanqiang li,https://www.lens.org/lens/orcid/0000-0002-9665-3633/scholar,11,67%,5,145,3,"['Chemistry , Neuroscience , Medicine , Chronic pain , Downregulation and upregulation , Molecular biology , Neuropathic pain , Biochemistry , Biology , Cell biology']",Xuzhou Medical University
678,Yubai Zhou,https://www.lens.org/lens/orcid/0000-0003-3704-283X/scholar,7,57%,4,260,4,"['Chemistry , Biology , Biotechnology , Cancer research , Catalysis , Enantioselective synthesis , In vivo , Internal medicine , MERTK , Medicine']",University of North Carolina at Chapel Hill
679,Pan Zhiqiang,https://www.lens.org/lens/orcid/0000-0003-3226-9875/scholar,6,17%,4,124,0,"['Chemistry , Indole test , Stereochemistry , Catalysis , Enamine , Iminium , Photochemistry , Pyridinium , Total synthesis , Aldol reaction']",Yunnan University
680,Junli Cao,https://www.lens.org/lens/orcid/0000-0002-7985-3035/scholar,27,58%,4,47,0,"['Medicine , Biology , Chemistry , Computer science , Internal medicine , Agronomy , Biochemistry , Neuroscience , Pesticide , Engineering']",no current information
681,zhao tengfei,https://www.lens.org/lens/orcid/0000-0002-1731-0844/scholar,1,100%,1,6,0,"['Acid value , Aroma , Chemistry , Context (language use) , Flavor , Food science , Larimichthys crocea , Lipid oxidation , Maillard reaction , Peroxide value']",no current information
682,Xuechao Liu,https://www.lens.org/lens/orcid/0000-0002-4320-5925/scholar,1,100%,1,1,0,"['Core (manufacturing) , Displacement (fluid) , Distribution (mathematics) , Evaluation methods , Geology , Permeability (earth sciences) , Petroleum engineering , Residual oil , Structural basin , Water flooding']",no current information
683,Yebang Tan,https://www.lens.org/lens/orcid/0000-0003-1804-5592/scholar,22,48%,10,259,1,"['Chemistry , Chemical engineering , Materials science , Polymer , Adsorption , Copolymer , Demulsifier , Emulsion , Fluorescence , Metal ions in aqueous solution']",no current information
684,Chen Hao,https://www.lens.org/lens/orcid/0000-0002-8874-0673/scholar,0,-,-,0,0,[''],"Division of Biology and Biomedical Sciences,"
685,Shengzhen Wang,https://www.lens.org/lens/orcid/0000-0002-4247-359X/scholar,3,50%,2,5,0,"['Physical geography , Arid , Biology , Ecology , Environmental science , Evapotranspiration , Geography , Gradual increase , Mathematical analysis , Mathematics']",no current information
686,Xiaoquan Qi,https://www.lens.org/lens/orcid/0000-0001-7175-115X/scholar,51,75%,30,"3,778",94,"['Biology , Genetics , Gene , Biochemistry , Botany , Genome , Amplified fragment length polymorphism , Gene cluster , Genetic marker , Computational biology']",Institute of Botany Chinese Academy of Sciences
687,Guanghong Cui,https://www.lens.org/lens/orcid/0000-0001-6072-7867/scholar,17,88%,4,147,0,"['Biochemistry , Chemistry , Biology , Alternative medicine , Biosynthesis , Medicine , Pathology , Stereochemistry , Gene , Traditional Chinese medicine']",no current information
688,Baolong,https://www.lens.org/lens/orcid/0000-0002-1873-3726/scholar,2,-,1,6,0,"['Grazing , Plant community , Standing crop , Agronomy , Artemisia frigida , Biology , Community , Ecology , Environmental science , Geostatistics']",
689,Timo Neunaber,https://www.lens.org/lens/orcid/0000-0001-9787-9805/scholar,1,100%,-,0,0,"['Art , Capability Maturity Model , Computer science , Data science , Developmental psychology , Digital library , Engineering , Global Positioning System , Literature , Maturity (psychological)']",no current information
690,Pavel,https://www.lens.org/lens/orcid/0000-0003-0730-5803/scholar,0,-,-,0,0,[''],no current information
691,Joachim,https://www.lens.org/lens/orcid/0000-0002-9132-6174/scholar,169,81%,29,"3,909",10,"['Medicine , Internal medicine , Endocrinology , Biology , Pediatrics , Body mass index , Diabetes mellitus , Genetics , Cohort , Birth weight']",Friedrich-Alexander-Universität Erlangen-Nürnberg
692,wang zhen,https://www.lens.org/lens/orcid/0000-0001-8823-9304/scholar,2,100%,2,17,0,"['Geography , Distribution (economics) , Environmental planning , Integrated business planning , Land use , Linkage (mechanical) , Location-based service , Population , Public service , Service (business)']",no current information
693,Fengfeng Fan,https://www.lens.org/lens/orcid/0000-0001-8942-3752/scholar,14,58%,8,276,1,"['Biology , Genetics , Agronomy , Gene , Biotechnology , Brown planthopper , Molecular marker , Oryza sativa , Quantitative trait locus , Resistance (ecology)']",no current information
694,Chenhui Wang,https://www.lens.org/lens/orcid/0000-0003-0932-3511/scholar,15,79%,10,252,4,"['Chemistry , Cancer research , In vivo , Materials science , Nanotechnology , Photothermal therapy , Apoptosis , Biology , Biophysics , Cancer']",no current information
695,Hu Hao,https://www.lens.org/lens/orcid/0000-0002-4718-7779/scholar,1,-,-,0,0,"['Alloy , Grain size , Inconel , Materials science , Metallurgy , Meteorology , Microstructure , Physics , Precipitation , Superalloy']",no current information
696,Jodi Benenson,https://www.lens.org/lens/orcid/0000-0002-0220-2488/scholar,4,50%,2,8,0,"['Law , Political science , Sociology , Gender studies , Politics , Public administration , Public relations , Antisemitism , Business , Community engagement']",no current information
697,Elżbieta Wróblewska,https://www.lens.org/lens/orcid/0000-0002-6243-4870/scholar,0,-,-,0,0,[''],Institute of Soil Science and Plant Cultivation
698,Craig van Dolleweerd,https://www.lens.org/lens/orcid/0000-0002-1380-6930/scholar,37,78%,25,"1,943",133,"['Biology , Antibody , Monoclonal antibody , Virology , Antigen , Recombinant DNA , Molecular biology , Biochemistry , Epitope , Transgene']",Callaghan Innovation
699,Jane K Parker,https://www.lens.org/lens/orcid/0000-0003-4121-5481/scholar,52,62%,20,"1,380",22,"['Chemistry , Food science , Aroma , Flavor , Maillard reaction , Medicine , Organic chemistry , Acrylamide , Flavour , Gas chromatography–mass spectrometry']",University of Reading
700,Matthew Nicholson,https://www.lens.org/lens/orcid/0000-0001-5492-0679/scholar,7,-,3,34,0,"['Law , International law , Philosophy , Sociology , Human rights , Representation (arts) , Art history , CLs upper limits , Critical legal studies , Cultural studies']",Durham University
701,KAIJING ZUO,https://www.lens.org/lens/orcid/0000-0002-6398-3433/scholar,9,78%,2,17,0,"['Arabidopsis , Biology , Cell biology , Mutant , Chemistry , Gene , Biochemistry , Arabidopsis thaliana , Gene expression , Abiotic stress']",no current information
702,Alfredo Di Leo,https://www.lens.org/lens/orcid/0000-0003-2026-1200/scholar,316,68%,49,"9,028",50,"['Medicine , Internal medicine , Gastroenterology , Helicobacter pylori , Biology , Surgery , Immunology , Endocrinology , Pathology , Colorectal cancer']",no current information
703,Suiping Liu,https://www.lens.org/lens/orcid/0000-0002-6488-3688/scholar,1,-,1,5,0,"['Antibacterial activity , Materials science , Nuclear chemistry , Oxygen vacancy']",no current information
704,Yiwen Zheng,https://www.lens.org/lens/orcid/0000-0001-8885-5289/scholar,8,88%,7,477,3,"['Chemistry , Photochemistry , Catalysis , Photocatalysis , Hydrogen , Amination , Benzene , Coupling reaction , Alkylation , Aniline']",Peking University Shenzhen Graduate School
705,Shiming Tang,https://www.lens.org/lens/orcid/0000-0003-0294-3259/scholar,21,95%,6,164,0,"['Computer science , Macaque , Artificial intelligence , Biology , Neuroscience , Calcium imaging , Pattern recognition , Neural coding , Physics , Population']",Peking University School of Life Sciences
706,lin ying,https://www.lens.org/lens/orcid/0000-0002-9665-7693/scholar,1,100%,-,0,0,"['Absolute risk reduction , Anemia , Biology , Case-control study , Cohort study , Confidence interval , Diabetes mellitus , Endocrinology , Ferritin , Genetics']",no current information
707,Stefen Lindörfer,https://www.lens.org/lens/orcid/0000-0001-5212-3983/scholar,1,100%,1,8,0,"['Boundary layer , Content (measure theory) , Cylinder , Mathematical analysis , Physics , Power law , Probability density function , Scaling , Shock wave , Turbulence']",no current information
708,Dun Dun,https://www.lens.org/lens/orcid/0000-0001-5445-1681/scholar,1,-,-,0,0,"['Diaspora , Gender studies , History , Narrative , Oral history , Refugee , Silence , Vietnamese']",no current information
